                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1729,                 3.1559,                 1.2921,                0.02312,                0.99107,                0.14267,                0.11067,                0.63761,                 3.0539,                 1.0184,                  8e-05,                  8e-05,                  8e-05
                      2,                 0.9556,                 2.2361,                 1.1299,                 0.0351,                0.57652,                0.46781,                0.37283,                0.58487,                 2.6188,                0.89912,             0.00017822,             0.00017822,             0.00017822
                      3,                0.89813,                 1.2167,                 1.1083,                0.96764,                0.53397,                0.83951,                0.64772,                0.67701,                 2.0349,                0.90968,             0.00027446,             0.00027446,             0.00027446
                      4,                0.81096,                0.93986,                 1.0501,                      1,                0.58945,                0.93259,                0.75863,                0.63374,                  1.937,                0.91091,             0.00036871,             0.00036871,             0.00036871
                      5,                0.87146,                0.93441,                 1.0664,                      1,                 0.5003,                0.88669,                0.70058,                0.65348,                 2.0367,                0.91245,             0.00046099,             0.00046099,             0.00046099
                      6,                0.83798,                0.86678,                 1.0382,                0.98764,                0.71357,                0.90808,                0.71489,                0.64404,                 1.6932,                 0.8947,             0.00055129,             0.00055129,             0.00055129
                      7,                0.79285,                0.82187,                 1.0143,                      1,                0.69498,                0.96222,                0.76639,                0.62618,                 1.5742,                 0.8922,             0.00063961,             0.00063961,             0.00063961
                      8,                0.77466,                 0.7767,                 1.0071,                      1,                0.70575,                0.97724,                0.73916,                 0.7164,                 1.7394,                0.93059,             0.00072595,             0.00072595,             0.00072595
                      9,                0.84889,                 0.8109,                 1.0709,                0.98815,                0.74459,                0.96318,                0.75219,                0.68266,                 1.6289,                0.91902,              0.0008103,              0.0008103,              0.0008103
                     10,                0.82282,                0.79922,                 1.0443,                0.97207,                 0.6216,                0.91508,                0.71308,                 0.6435,                 1.7379,                0.91643,             0.00089268,             0.00089268,             0.00089268
                     11,                0.77025,                0.78244,                 1.0186,                0.98115,                0.92968,                0.99022,                0.81151,                0.62944,                 1.2607,                0.93049,             0.00097308,             0.00097308,             0.00097308
                     12,                0.85096,                   0.77,                 1.0713,                0.98193,                 0.9706,                0.99331,                0.82049,                0.61495,                  1.186,                0.92823,              0.0010515,              0.0010515,              0.0010515
                     13,                0.82542,                0.76127,                 1.0722,                0.96179,                0.97321,                0.99139,                0.82619,                0.58149,                 1.2681,                0.90946,              0.0011279,              0.0011279,              0.0011279
                     14,                0.77681,                0.72327,                 1.0102,                0.98205,                0.94643,                0.99309,                0.77832,                0.70435,                 1.3552,                0.94338,              0.0012024,              0.0012024,              0.0012024
                     15,                0.82004,                0.76951,                  1.053,                 0.9908,                0.96131,                0.99349,                0.81682,                0.62209,                 1.1295,                0.92694,              0.0012749,              0.0012749,              0.0012749
                     16,                0.79163,                0.73088,                 1.0227,                0.99068,                0.94889,                0.99342,                0.81716,                0.60529,                 1.0688,                0.92849,              0.0013454,              0.0013454,              0.0013454
                     17,                0.80709,                0.73328,                 1.0504,                0.97527,                0.95536,                0.99018,                0.80022,                0.61474,                 1.0942,                0.93224,              0.0014139,              0.0014139,              0.0014139
                     18,                0.79148,                0.71297,                 1.0442,                0.97342,                0.98082,                0.99093,                0.82817,                0.59624,                0.92164,                0.92527,              0.0014804,              0.0014804,              0.0014804
                     19,                 0.6811,                0.65092,                 0.9907,                0.98205,                0.99107,                0.99185,                0.82157,                0.61089,                0.80685,                0.92651,               0.001545,               0.001545,               0.001545
                     20,                0.72664,                0.69201,                 1.0226,                0.99104,                0.98716,                0.99429,                0.83935,                0.56552,                0.66496,                0.91209,              0.0016076,              0.0016076,              0.0016076
                     21,                0.75984,                0.68694,                  1.027,                 0.9821,                 0.9797,                0.99403,                 0.8358,                 0.5688,                0.65375,                0.91764,               0.001604,               0.001604,               0.001604
                     22,                0.67098,                 0.6219,                0.97594,                0.95514,                      1,                0.99314,                0.82372,                0.58808,                0.66231,                0.92043,              0.0015842,              0.0015842,              0.0015842
                     23,                0.78051,                0.67469,                 1.0507,                0.97389,                0.99896,                0.99367,                0.82552,                0.54773,                0.68094,                0.91216,              0.0015644,              0.0015644,              0.0015644
                     24,                0.74222,                0.67968,                 1.0313,                0.96375,                0.94964,                0.98697,                0.82186,                0.56983,                0.93957,                0.93417,              0.0015446,              0.0015446,              0.0015446
                     25,                0.76946,                0.70007,                  1.047,                0.95076,                0.86206,                 0.9371,                0.71388,                0.75311,                 1.2775,                  1.023,              0.0015248,              0.0015248,              0.0015248
                     26,                0.71022,                0.62116,                0.99017,                0.95054,                  0.875,                0.93438,                0.73875,                0.69126,                 1.1895,                  1.001,               0.001505,               0.001505,               0.001505
                     27,                0.71861,                0.63439,                 1.0317,                0.96727,                0.91964,                0.96283,                0.78462,                0.61787,                0.93943,                0.95487,              0.0014852,              0.0014852,              0.0014852
                     28,                0.69103,                0.59092,                 1.0077,                0.95433,                0.93294,                0.98163,                0.82027,                0.58375,                0.73028,                0.92119,              0.0014654,              0.0014654,              0.0014654
                     29,                0.72918,                0.63579,                 1.0138,                 0.9378,                0.94228,                0.98388,                0.82072,                0.59398,                0.71332,                0.92181,              0.0014456,              0.0014456,              0.0014456
                     30,                0.72163,                 0.6012,                 1.0105,                0.96409,                0.96429,                0.98999,                0.84299,                0.53242,                0.66503,                0.90793,              0.0014258,              0.0014258,              0.0014258
